model,dataset,text,source,true_label,predicted_label,score
distilbert_sst2,mixed,"I like the angle of this dermaplaning blade. I do like the angle of this dermaplaning blade, other than that, it's basically a razor.  It preforms just like any other razor blade other than the way you hold it.  I can't say it's something special due to this.  The cleaning brush is great and needs to be used since the hair stays in the blades.",human,positive,negative,0.5589799284934998
distilbert_sst2,mixed,"It says Organic. but it isn't certified organic, so is it? I have Aloe plants, but when traveling having Aloe Vera in a bottle is terrific. Also if you are looking to make your own hand sanitizer this is great to add to isopropyl alcohol.<br /><br />Sdara is a Canadian Company that has been around since at least 2016.",human,negative,positive,0.9962144494056702
distilbert_sst2,mixed,"clip rollers. I purchased these to see if I could set my mom's hair.  She has fine, thin, short hair and I think these could be fun once in a while for a fluffy set.  Mom is 81.  These are super old school - hoping I can do it with a little foam styling product.",human,positive,negative,0.9613397121429443
distilbert_sst2,mixed,nice sized !. i had a small one  that just got destroyed  these wires are much longer and bigger  i expect to live a lot longer than the tiny one i had !,human,positive,negative,0.9538544416427612
distilbert_sst2,mixed,The conditioner made my hair easier to comb and reduced frizz. A small amount was enough for each use.,ai,positive,negative,0.983659029006958
distilbert_sst2,mixed,This nail treatment helped my nails feel stronger. It dried quickly and did not chip right away.,ai,positive,negative,0.9859327673912048
distilbert_sst2,mixed,This mascara added length without clumping. It stayed on during the day and washed off without much effort.,ai,positive,negative,0.9945234060287476
distilbert_sst2,mixed,"QUICK RAIN PROTECTION. Rrain hats are really handy when<br />one doesn't have an umbrella, and<br />easy to carry in a purse or pocket.",human,positive,negative,0.6961838603019714
distilbert_sst2,mixed,Not 100% sure how safe it is particularly for damaged feet.. Had originally planned on using this for my feet but given I have some cracks it mentioned not to use on cracked or hurt feet because it could sting and other similar side effects. I am not sure whether to use this product or not because it also mentioned that it is possible that it will sting whether or not you have cracks on your feet or anything similar. I am a little worried if I should use this at all. I am gifting this away because I do not want to hurt my feet. I hope it helps someone else.,human,positive,negative,0.9762768149375916
distilbert_sst2,mixed,"These are easy to use, but take long to put in. my hair is long.  It took a long time to get these put in.  The curls were great. These rollers would be great for someone who wants to sleep in them. I didn't find it worth it to use during the day.<br /><br />Good curlers with no heat.  I prefer my hot rollers.",human,positive,negative,0.8213968276977539
distilbert_sst2,mixed,I liked how quickly this showed results on rough skin. It made the area feel smoother by morning.,ai,positive,negative,0.6340959072113037
distilbert_sst2,mixed,"Deep cleaning as described. 4 stars because it pulled my skin off on the sensitive crease on side of my nose.  Just be careful if you have a tough spot upon removing.  You must rewet it if it is sticking too strongly.  I started on that spot and didn't realize it was tearing my skin.  If you follow the instructions, you should have no problem.",human,positive,negative,0.9080847501754761
distilbert_sst2,mixed,"Did the job and looked great. Loved it. The words worked out fine but the single pins broke right out of the package, so I threw them out, but I didn’t buy these for the single pins.",human,positive,negative,0.9267084002494812
twitter_roberta,human,"It says Organic. but it isn't certified organic, so is it? I have Aloe plants, but when traveling having Aloe Vera in a bottle is terrific. Also if you are looking to make your own hand sanitizer this is great to add to isopropyl alcohol.<br /><br />Sdara is a Canadian Company that has been around since at least 2016.",human,negative,positive,0.5331141948699951
twitter_roberta,human,Pretty Color. The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,human,positive,negative,0.7626219391822815
twitter_roberta,human,"Lotion-zip, too heavily scented, lip balm excellent!. I received this gift set for Christmas. My husband ordered it from Amazon. The lip balm gets 5 stars! It’s my favorite. The lotion is such a strong offensive scent that I cannot wear it. I haven’t tried the little bottle yet since the lotion is so heavily scented.",human,negative,positive,0.9557904005050659
twitter_roberta,human,Not 100% sure how safe it is particularly for damaged feet.. Had originally planned on using this for my feet but given I have some cracks it mentioned not to use on cracked or hurt feet because it could sting and other similar side effects. I am not sure whether to use this product or not because it also mentioned that it is possible that it will sting whether or not you have cracks on your feet or anything similar. I am a little worried if I should use this at all. I am gifting this away because I do not want to hurt my feet. I hope it helps someone else.,human,positive,negative,0.810328483581543
twitter_roberta,human,"Works great but smells a little weird.. This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",human,positive,negative,0.6201046705245972
twitter_roberta,human,"Has a spicy aroma; leaves my hair nourished and enhanced my curls (see update). This shampoo and conditioner travel-size duo (2 ounces each bottle) has a spicy aroma that is neither pleasant nor offensive but not my favorite smell.  The shampoo produces a medium lather and cleans well. The conditioner is creamy and conditions well. When my hair dried, it had a sheen to it and was well nourished and my curls were enhanced.<br /><br />The current price of $14 for this set is expensive. If this had an intoxicating fragrance I liked and was more reasonably priced, I would have loved it. However, this is not a set I would buy at this price.<br /><br />Note that I get about four uses to this set for my short to medium hair.<br /><br />UPDATE 9/22/20 - This only lasted me three uses. However, I had such trouble getting both the remaining shampoo and conditioner (particularly the conditioner) out of the bottle. They need to change this to a squeeze tube. I actually had to fill the bottle with water several times to dislodge the remaining ingredients. Also, the conditioner makes the floor of the shower or tub very slippery (almost as if I put Pledge on a floor).  Based on this, I lowered my ranking from 4 to 2 stars.",human,negative,positive,0.6092610955238342
twitter_roberta,mixed,"Works great but smells a little weird.. This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",human,positive,negative,0.6201046705245972
twitter_roberta,mixed,Pretty Color. The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,human,positive,negative,0.7626219391822815
twitter_roberta,mixed,"Lotion-zip, too heavily scented, lip balm excellent!. I received this gift set for Christmas. My husband ordered it from Amazon. The lip balm gets 5 stars! It’s my favorite. The lotion is such a strong offensive scent that I cannot wear it. I haven’t tried the little bottle yet since the lotion is so heavily scented.",human,negative,positive,0.9557904005050659
twitter_roberta,mixed,"It says Organic. but it isn't certified organic, so is it? I have Aloe plants, but when traveling having Aloe Vera in a bottle is terrific. Also if you are looking to make your own hand sanitizer this is great to add to isopropyl alcohol.<br /><br />Sdara is a Canadian Company that has been around since at least 2016.",human,negative,positive,0.5331141948699951
twitter_roberta,mixed,"Has a spicy aroma; leaves my hair nourished and enhanced my curls (see update). This shampoo and conditioner travel-size duo (2 ounces each bottle) has a spicy aroma that is neither pleasant nor offensive but not my favorite smell.  The shampoo produces a medium lather and cleans well. The conditioner is creamy and conditions well. When my hair dried, it had a sheen to it and was well nourished and my curls were enhanced.<br /><br />The current price of $14 for this set is expensive. If this had an intoxicating fragrance I liked and was more reasonably priced, I would have loved it. However, this is not a set I would buy at this price.<br /><br />Note that I get about four uses to this set for my short to medium hair.<br /><br />UPDATE 9/22/20 - This only lasted me three uses. However, I had such trouble getting both the remaining shampoo and conditioner (particularly the conditioner) out of the bottle. They need to change this to a squeeze tube. I actually had to fill the bottle with water several times to dislodge the remaining ingredients. Also, the conditioner makes the floor of the shower or tub very slippery (almost as if I put Pledge on a floor).  Based on this, I lowered my ranking from 4 to 2 stars.",human,negative,positive,0.6092610955238342
twitter_roberta,mixed,Not 100% sure how safe it is particularly for damaged feet.. Had originally planned on using this for my feet but given I have some cracks it mentioned not to use on cracked or hurt feet because it could sting and other similar side effects. I am not sure whether to use this product or not because it also mentioned that it is possible that it will sting whether or not you have cracks on your feet or anything similar. I am a little worried if I should use this at all. I am gifting this away because I do not want to hurt my feet. I hope it helps someone else.,human,positive,negative,0.810328483581543
